authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"J. Head","J. Head",,16873,S.,Duffaud,J.-C.,Rage,,1997,"Les remplissages karstiques polyphasés (Éocène, Oligocène, Pliocène) de Saint-Maximin (Phosphorites du Gard) et leur apport à la connaissance des faunes Européennes, notamment pour l’Éocène Moyen (MP 13). 2.-Systématique: amphibiens et reptiles","École Pratique des Hautes Études. Mémoires et Travaux de l’Institut de Montpellier",,21,,729,735,"journal article","stated without evidence",French,,,,,"2006-03-14 20:34:05","2006-03-15 15:34:12"
"M. Bell","M. Bell",,47769,"C. J.",Duffin,,,,1985,"Revision of the hybodont selachian genus Lissodus Brough (1935)","Palaeontographica Abteilung A",,188,4-6,105,152,"journal article","stated with evidence",English,,,,,"2013-07-30 23:19:03","2013-07-30 23:19:03"
"M. Carrano","M. Carrano","M. Carrano",14468,"M. B.",Efimov,"S. V.",Leshchinskiy,,2000,"[First discovery of a fossil crocodile skull in Siberia]","In A.V. Komarov (ed.), Materialy regionalanoj konferencii geologov Sibiri, Dalshchnego Vostoka i Severoâ ’Vostoka Rossii. Gala Press, Tomsk",,2,,361,363,"book/book chapter","stated without evidence",Russian,,,ETE,,"2005-09-11 17:13:42","2005-09-12 10:13:42"
"J. Hunter","J. Hunter","J. Hunter",4416,"S. D.",Emslie,,,,1988,"An early condor-like vulture from North America","The Auk",,105,3,529,535,"journal article","stated without evidence",English,,,5%,13020,"2002-03-01 16:57:57","2005-03-05 08:51:11"
"L. van den Hoek Ostende","L. van den Hoek Ostende","T. Liebrecht",28268,B.,Engesser,G.,Storch,,2008,"Latest Oligocene Didelphimorpha, Lipotyphla, Rodentia and Lagomorpha (Mammalia) from Oberleichtersbach, Rhön Mountains, Germany","Courier Forschungsinstitut Senckenberg",,260,,185,251,"journal article","stated with evidence",English,,,,,"2008-10-12 12:06:00","2013-05-30 23:32:27"
"J. Alroy","E. Leckey","E. Leckey",8336,"P. C.",Ensom,,,,1987,"A remarkable new vertebrate site in the Purbeck Limestone Formation on the Isle of Purbeck","Proceedings of the Dorset Natural History and Archaeological Society",,108,,205,206,"journal article","stated without evidence",,,,,,"2003-03-10 08:56:27","2003-03-11 03:56:27"
"J. Alroy","E. Leckey","M. Carrano",8338,"P. C.",Ensom,,,,1988,"Excavations at Sunnydown Farm, Langton Matravers, Dorset: amphibians discovered in the Purbeck Limestone Formation","Proceedings of the Dorset Natural History and Archaeological Society",,109,,148,150,"journal article","stated without evidence",English,,"issue date 1987; published June 1988",,,"2003-03-10 11:11:54","2009-11-25 07:30:02"
"M. Carrano","M. Carrano",,31246,"P. C.",Ensom,,,,1989,"Sunnydown Farm sauropod footprint site","Proceedings of the Dorset Natural History and Archaeological Society",,110,,167,168,"journal article","none discussed",English,,"issue date 1988; published June 1989",ETE,,"2009-11-25 10:30:35","2009-11-26 05:30:35"
"M. Carrano","M. Carrano",,19441,"P. C.",Ensom,"S. E.",Evans,"A. R. Milner",1991,"Amphibians and reptiles from the Purbeck Limestone Formation (Upper Jurassic) of Dorset","In Z. Kielan-Jaworowska, N. Heintz, & H. A. Nakrem (eds.), Fifth Symposium on Mesozoic Terrestrial Ecosystems and Biota, Extended Abstracts. Contributions from the Paleontological Museum, Unviersity of Oslo",,364,,19,20,"book/book chapter","stated without evidence",English,,,ETE,,"2006-12-20 08:23:05","2006-12-21 03:23:11"
"M. Carrano","M. Carrano",,31269,"P. C.",Ensom,"S. E.",Evans,"J. E. Francis, Z. Kielan-Jaworowska, A. R. Milner",1994,"The fauna and flora of the Sunnydown Farm footprint site and associated sites: Purbeck Limestone Formation, Dorset","Proceedings of the Dorset Natural History and Archaeological Society",,115,,181,182,"journal article","stated without evidence",English,,"issue date 1993; published June 1994",ETE,,"2009-11-26 22:05:16","2009-11-27 17:05:16"
"R. Benson","R. Benson",,39154,"P. C.",Ensom,D.,Sigogneau-Russell,,1998,"New dryolestoid mammals from the basal Cretaceous Purbeck Limestone Group of southern England",Palaeontology,,41,,35,55,"journal article","stated without evidence",English,,,,,"2012-01-06 03:05:29","2012-01-06 03:05:29"
"R. Benson","R. Benson",,39148,P.,Ensom,D.,Sigogneau-Russell,,2000,"New symmetrodonts (Mammalia, Theria) from the Purbeck Limestone Group, Lower Cretaceous, southern England","Cretaceous Research",,21,,767,779,"journal article","stated without evidence",English,,,,,"2012-01-05 21:56:45","2012-01-05 21:56:45"
"P. Mannion","P. Mannion",,38121,R.,Estes,M.,Hecht,"R. Hoffstetter",1967,"Paleocene amphibians from Cernay, France","American Museum Novitates",,2295,,1,25,"journal article","stated with evidence",English,,,,,"2011-10-12 23:06:48","2011-10-12 23:06:48"
"M. Carrano","M. Carrano",,19446,R.,Estes,B.,Sanchíz,,1982,"Early Cretaceous lower vertebrates from Galve (Teruel), Spain","Journal of Vertebrate Paleontology",,2,1,,,"journal article","stated without evidence",English,,,ETE,,"2006-12-20 10:37:37","2006-12-21 05:37:40"
"M. Carrano","M. Carrano",,41119,"S. E.",Evans,,,,1989,"New material of Cteniogenys (Reptilia: Diapsida; Jurassic) and a reassessment of the phylogenetic position of the genus","Neues Jahrbuch für Geologie und Paläontologie Monatshefte",,1989,,577,589,"journal article","stated with evidence",English,,,,,"2012-04-11 04:03:15","2012-04-11 04:03:15"
"P. Mannion","P. Mannion",,44162,"S. E.",Evans,,,,1990,"The skull of Cteniogenys, a choristodere (Reptilia: Archosauromorpha) from the Middle Jurassic of Oxfordshire","Zoological Journal of Linnean Society",,99,,205,237,"journal article","stated with evidence",English,,,,,"2013-01-04 06:48:55","2013-01-04 06:48:55"
"M. Carrano","M. Carrano",,42163,"S. E.",Evans,,,,1991,"A new lizard-like reptile (Diapsida: Lepidosauromorpha) from the Middle Jurassic of England","Zoological Journal of the Linnean Society",,103,,391,412,"journal article","stated with evidence",English,,,,,"2012-06-29 01:50:14","2012-06-29 01:50:14"
"P. Mannion","P. Mannion",,44161,"S. E.",Evans,,,,1991,"The postcranial skeleton of the choristodere Cteniogenys (Reptilia: Diapsida) from the Middle Jurassic of England",Geobios,,24,2,187,199,"journal article","stated with evidence",English,,,,,"2013-01-04 06:14:00","2013-01-04 06:14:00"
"M. Carrano","M. Carrano",,31250,"S. E.",Evans,,,,1992,"Small reptiles and amphibians from the Forest Marble (Middle Jurassic) of Dorset","Proceedings of the Dorset Natural History and Archaeological Society",,113,,201,202,"journal article","stated without evidence",English,,"issue date 1991; published June 1992",ETE,,"2009-11-25 12:15:36","2009-11-26 07:15:36"
"R. Benson","R. Benson",,37904,"S. E.",Evans,,,,1994,"A new anguimorph lizard from the Jurassic and Lower Cretaceous of England",Palaeontology,,37,1,33,49,"journal article","stated with evidence",English,,,,,"2011-09-29 01:17:33","2011-09-29 01:17:33"
"P. Barrett","T. Cleary",,57725,"S. E.",Evans,,,,1998,"Crown group lizards (Reptilia, Squamata) from the Middle Jurassic of the British Isles","Palaeontographica Abteilung A",,250,,123,154,"journal article","stated with evidence",English,,,,,"2016-01-22 08:35:22","2016-01-23 01:35:22"
"R. Benson","R. Benson",,37280,"S. E.",Evans,"L. J.",Barbadillo,,1997,"Early Cretaceous lizards from Las Hoyas, Spain","Zoological Journal of the Linnean Society",,119,,23,49,"journal article","stated with evidence",English,10.1006/zjls.1996.0063,,,,"2011-08-29 20:49:54","2011-08-29 20:49:54"
"M. Carrano","M. Carrano",,26529,"S. E.",Evans,"L. J.",Barbadillo,,1998,"An unusual lizard (Reptilia: Squamata) from the Early Cretaceous of Las Hoyas, Spain","Zoological Journal of the Linnean Society",,124,,235,265,"journal article","stated without evidence",English,,,ETE,,"2008-02-20 07:07:15","2008-02-21 02:07:15"
"R. Benson","R. Benson",,37784,"S. E.",Evans,"L. J.",Barbadillo,,1999,"A short-limbed lizard from the Lower Cretaceous of Spain","Special Papers in Palaeontology",,60,,73,85,"journal article","stated with evidence",English,,,,,"2011-09-21 19:42:18","2011-09-21 19:42:18"
"R. Butler","R. Butler",,30976,"S. E.",Evans,"P. M.",Barrett,"J. Hilton, R. J. Butler, M. E. H. Jones, M.-M. Liang, J. C. Parish, E. J. Rayfield, D. Sigogneau-Russell, C. J. Underwood",2006,"The Middle Jurassic vertebrate assemblage of Skye, Scotland","9th International Symposium on Mesozoic Terrestrial Ecosystems and Biota, Abstracts and Proceedings Volume, Natural History Museum, London","P. M. Barrett, S. E. Evans",,,36,39,"book/book chapter","none discussed",English,,,,,"2009-10-28 03:55:27","2009-10-28 21:55:27"
"J. Alroy","J. Alroy",,30987,"S. E.",Evans,"G. J.",McGowan,,2002,"An amphibian assemblage from the Purbeck Limestone Group","Special Papers in Palaeontology",,68,,103,119,"journal article","stated with evidence",English,,,,,"2009-10-28 13:22:30","2009-10-29 07:22:30"
"J. Alroy","J. Alroy",,30993,"S. E.",Evans,"A. R.",Milner,"F. Mussett",1988,"The earliest known Salamanders (Amphibia, Caudata): A record from the Middle Jurassic of England",Geobios,,21,5,539,552,"journal article","stated with evidence",English,,,,,"2009-10-28 17:01:40","2009-10-29 11:01:40"
"M. Carrano","M. Carrano","M. Carrano",10560,"S. E.",Evans,"A. R.",Milner,"F. Mussett",1990,"A discoglossid frog from the Middle Jurassic of England",Palaeontology,,33,1,299,311,"journal article","stated without evidence",,,,ETE,,"2004-05-19 15:11:07","2004-05-20 08:14:49"
"M. Carrano","M. Carrano",,19443,"S. E.",Evans,"A. R.",Milner,,1991,"Middle Jurassic microvertebrate faunas from the British Isles","In Z. Kielan-Jaworowska, N. Heintz, & H. A. Nakrem (eds.), Fifth Symposium on Mesozoic Terrestrial Ecosystems and Biota, Extended Abstracts. Contributions from the Paleontological Museum, Unviersity of Oslo",,364,,21,22,"book/book chapter","stated without evidence",English,,,ETE,,"2006-12-20 08:53:50","2006-12-21 03:53:56"
"M. Carrano","M. Carrano","M. Carrano",10557,"S. E.",Evans,"A. R.",Milner,,1994,"Middle Jurassic microvertebrate assemblages from the British Isles","In the Shadow of the Dinosaurs: Early Mesozoic Tetrapods, N. C. Fraser and H.-D. Sues (eds.), Cambridge University Press",,,,303,321,"book/book chapter","stated without evidence",,,,ETE,,"2004-05-19 14:37:52","2004-05-20 07:37:52"
"M. Carrano","M. Carrano",,25847,"S. E.",Evans,"A. R.",Milner,,1996,"A metamorphosed salamander from the Early Cretaceous of Las Hoyas, Spain","Philosophical Transactions of the Royal Society of London B",,351,,627,646,"journal article","stated without evidence",English,,,ETE,,"2007-11-16 14:39:38","2007-11-17 09:39:38"
"R. Benson","R. Benson",,38087,"S. E.",Evans,"A. R.",Milner,"C. Werner",1996,"Sirenid salamanders and a gymnophionan amphibian from the Cretaceous of the Sudan",Palaeontology,,39,1,77,95,"journal article","stated with evidence",English,,,,,"2011-10-10 20:00:53","2011-10-10 20:00:53"
"M. Carrano","M. Carrano",,34139,"S. E.",Evans,B.,Searle,,2002,"Lepidosaurian reptiles from the Purbeck Limestone Group of Dorset, southern England","Life and Environments in Purbeck Times. Special Papers in Palaeontology","A. R. Milner, D. J. Batten",68,,145,149,"book/book chapter","stated with evidence",English,,,ETE,,"2010-11-05 10:58:13","2010-11-06 04:58:13"
"M. Carrano","M. Carrano",,42613,"S. E.",Evans,M.,Waldman,,1996,"Small reptiles and amphibians from the Middle Jurassic of Skye, Scotland","The Continental Jurassic. Museum of Northern Arizona Bulletin","M. Morales",60,,219,226,"book/book chapter","stated without evidence",English,,,,,"2012-08-14 07:37:22","2012-08-14 07:37:22"
"J. Alroy","S. Kuemmell","S. Kuemmell",12913,V.,Fahlbusch,,,,1964,"Die Cricetiden (Mamm.) der Oberen Süßwasser-Molasse Bayerns (Cricetids of the Upper Freshwater Molasse of Bavaria)","Bayerische Akademie der Wissenschaften; mathematisch-naturwissenschaftliche Klasse; Abhandlungen, neue Folge",,118,,1,136,"serial monograph","stated without evidence",German,,"7 plates are added",,,"2005-03-16 05:41:31","2005-04-26 01:10:07"
"J. Alroy","S. Kuemmell","S. Kuemmell",11932,K.-H.,Fischer,,,,1964,"Die tapiroiden Perissodactylen aus der eozänen Braunkohle des Geiseltales (The tapiroid Perissodactyla from the eocene Lignit of the Geiseltal)","Geologie, Beihefte",,45,,1,101,"serial monograph","stated without evidence",German,,,,,"2004-10-28 05:28:47","2004-10-29 19:25:43"
"J. Alroy","S. Kuemmell","S. Kuemmell",11933,K.-H.,Fischer,,,,1977,"Neue Funde von Rhinocerolophiodon (n. gen.), Lophiodon und Hyrachyus (Ceratomorpha, Perissodactyla, Mammalia) aus dem Eozän des Geiseltals bei Halle (DDR); Teil 1: Rhinocerolophiodon. (New fossils of Rhinocerolophiodon (n. gen.), Lophiodon and Hyrachyus from the Eocene of the Geiseltal, Halle (DDR); first part: Rhinocerolophiodon)","Zeitschrift der geologischen Wissenschaften, Berlin",,5,7,909,919,"journal article","stated without evidence",German,,,,,"2004-10-28 07:26:17","2004-12-01 18:44:20"
"J. Alroy","S. Kuemmell","S. Kuemmell",11934,K.-H.,Fischer,,,,1977,"Neue Funde von Rhinocerolophiodon (n. gen.), Lophiodon und Hyrachyus (Ceratomorpha, Perissodactyla, Mammalia) aus dem Eozän des Geiseltals bei Halle (DDR); Teil 2: Lophiodon. (New fossils of Rhinocerolophiodon (n. gen.), Lophiodon and Hyrachyus from the Eocene of the Geiseltal, Halle (DDR); second part: Lophiodon)","Zeitschrift der geologischen Wissenschaften",,5,9,1129,1152,"journal article","stated without evidence",German,,,,,"2004-10-28 07:30:23","2004-10-29 00:47:12"
"M. Clapham","J. Karr",,35239,G.,Fleck,G.,Bechly,"X. Martinez-Delclos, E. Jarzembowski, R. Coram, A. Nel",2003,"Phylogeny and classification of the Stenophlebioptera (Odonata: Epiproctophora)","Annales de la Société Entomologique de France",,39,1,55,93,"journal article","stated with evidence",English,,,,,"2011-02-19 19:22:18","2011-02-19 19:22:18"
"M. Clapham","J. Karr",,35493,G.,Fleck,A.,Nel,,2003,"Revision of the Mesozoic family Aeschnidiidae (Odonata: Anisoptera)",Zoologica,,153,,1,170,"journal article","stated with evidence",English,,,,,"2011-03-11 05:47:09","2011-03-11 05:47:09"
"P. Mannion","P. Mannion",,54400,A.,Folie,R.,Smith,"T. Smith",2013,"New amphisbaenian lizards from the Early Paleogene of Europe and their implications for the early evolution of modern amphisbaenians","Geologica Belgica",,16,4,227,235,"journal article","stated with evidence",English,,,,,"2015-02-19 09:24:26","2015-02-20 02:24:26"
"M. Uhen","M. Uhen","M. Uhen",10151,"R. E.",Fordyce,C.,"de Muizon",,2001,"Evolutionary history of the cetaceans: a review","Secondary Adaptations of Tetrapods to Life in the Water",,,,169,233,"book/book chapter","stated without evidence",,,,,,"2004-04-01 12:10:07","2004-04-02 06:10:07"
"J. Alroy","S. Kuemmell","S. Kuemmell",11941,"J. L.",Franzen,H.,Haubold,,1986,"Revision der Equoidea aus den eozänen Braunkohlen des Geiseltales bei Halle (DDR). (Revision of Equoidea from the Eocene lignite of the Geiseltal, Halle (DDR))","Palaeovertebrata, Montpellier",,16,1,1,34,"journal article","stated without evidence",German,,,5%,23500,"2004-10-29 06:35:51","2004-12-22 20:56:43"
"J. Alroy","S. Kuemmell","S. Kuemmell",11936,"J. L.",Franzen,G.,Krumbiegel,,1980,"Messelobunodon ceciliensis n. sp. (Mammalia, Artiodactyla) - ein neuer Dichobunide aus der mitteleozänen Fauna des Geiseltals bei Halle (DDR). (Messelobunodon ceciliensis n. sp. - a new Dichobunidae from the Middle Eocene fauna of the Geiseltal, Halle (DDR))","Zeitschrift der geologischen Wissenschaften, Berlin",,8,12,1553,1560,"journal article","stated without evidence",German,,,,,"2004-10-29 02:24:42","2004-10-29 19:32:28"
"M. Carrano","M. Carrano","R. Benson",10558,"E. P.",Freeman,,,,1976,"Mammal teeth from the Forest Marble (Middle Jurassic) of Oxfordshire, England",Science,,194,4269,1053,1055,"journal article","stated without evidence",English,,,,,"2004-05-19 14:48:08","2014-06-10 18:35:16"
"R. Butler","R. Butler",,43996,"E. F.",Freeman,,,,1976,"A mammalian fossil from the Forest Marble (Middle Jurassic) of Dorset","Proceedings of the Geologists' Association",,87,2,231,235,"journal article","none discussed",English,,,,,"2012-12-18 01:13:48","2012-12-18 01:13:48"
"R. Benson","R. Benson",,42352,"E. F.",Freeman,,,,1979,"A Middle Jurassic mammal bed from Oxfordshire",Palaeontology,,22,1,135,166,"journal article","stated without evidence",English,,,,,"2012-07-19 00:58:42","2012-07-19 00:58:42"
"P. Mannion","P. Mannion",,46612,E.,Frey,S.,Monninger,,2010,"Lost in action–the isolated crocodilian teeth from Enspel and their interpretive value","Palaeobiodiversity and Palaeoenvironments",,90,,65,81,"journal article","stated with evidence",English,,,,,"2013-05-01 02:18:34","2013-05-01 02:18:34"
"R. Butler","R. Butler",,31500,"P. M.",Galton,,,,2009,"Notes on Neocomian (Lower Cretaceous) ornithopod dinosaurs from England - Hypsilophodon, Valdosaurus, ""Camptosaurus"", ""Iguanodon"" - and referred specimens from Romania and elsewhere","Revue de Paléobiologie, Genève",,28,1,211,273,"journal article","stated with evidence",English,,,,,"2010-01-07 13:18:14","2010-01-08 08:18:14"
"M. Carrano","M. Oreska",,34817,"P. P.",Gambaryan,"A. O.",Averianov,"E. N. Maschenko, S. V. Leshchinskiy",2004,"Mammalian humerus from the Early Cretaceous of West Siberia","Russian Journal of Theriology",,3,2,51,58,"journal article","stated with evidence",English,,,ETE,,"2011-01-21 01:15:59","2011-01-21 01:15:59"
"M. Carrano","M. Carrano",,42674,"J. D.",Gardner,,,,2000,"Revised taxonomy of albanerpetontid amphibians","Acta Palaeontologica Polonica",,45,1,55,70,"journal article","stated with evidence",English,,,,,"2012-08-18 07:02:14","2012-08-18 07:02:14"
"M. Carrano","M. Carrano",,52039,"J. D.",Gardner,M.,Böhme,,2008,"Review of the Albanerpetontidae (Lissamphibia), with comments on the paleoecological preferences of European Tertiary albanerpetontids","Vertebrate Microfossil Assemblages: Their Role in Paleoecology and Paleobiogeography","J. T. Sankey & S. Baszio",,,178,218,"book chapter","stated without evidence",English,,,,,"2014-07-25 09:49:27","2014-07-26 00:49:27"
"J. Alroy","J. Alroy",,30986,"J. D.",Gardner,"S. E.",Evans,"D. Sigogneau-Russell",2003,"New albanerpetontid amphibians from the Early Cretaceous of Morocco and Middle Jurassic of England","Acta Palaeontologica Polonica",,48,2,301,319,"journal article","stated with evidence",English,,,,,"2009-10-28 12:52:55","2009-10-29 06:52:55"
"M. Carrano","M. Carrano",,46182,A.,Gaudry,,,,1890,,"Les Enchainements du Monde Animal dans les Temps Geologiques. Fossiles Secondaires",,,,1,322,book,"stated without evidence",English,,,,,"2013-04-06 07:52:26","2013-04-06 07:52:26"
"P. Mannion","P. Mannion",,42887,E.,Gheerbrant,,,,1991,"Bustylus (Eutheria, Adapisoriculidae) and the absence of ascertained Marsupials in the Palaeocene of Europe","Terra Nova",,3,,586,592,"journal article","stated with evidence",English,,,,,"2012-09-07 21:01:10","2012-09-07 21:01:10"
"P. Mannion","P. Mannion",,42886,E.,Gheerbrant,"D. E.",Russell,,1989,"Presence of the genus Afrodon [Mammalia, Lipotyphla (?), Adapisoriculidae] in Europe; new data for the problem of trans-Tethyan relations between Africa and Europe around the K/T boundary","Palaeogeography, Palaeoclimatology, Palaeoecology",,76,,1,15,"journal article","stated with evidence",English,,,,,"2012-09-07 20:17:05","2012-09-07 20:17:05"
"P. Mannion","P. Mannion","P. Mannion",42888,E.,Gheerbrant,"D. E.",Russell,,1991,"Bustylus cernaysi nov. gen., nov. sp., nouvel Adapisoriculidé (Mammalia, Eutheria) Paléocène d'Europe",Geobios,,24,4,467,481,"journal article","stated with evidence",French,,,,,"2012-09-07 21:22:04","2012-09-07 21:24:43"
"J. Alroy","J. Alroy","J. Alroy",1632,"P. D.",Gingerich,,,,1973,"First record of the Palaeocene primate Chiromyoides from North America",Nature,,244,,517,518,"journal article","stated with evidence",English,,,,,"2001-03-02 15:01:31","2007-12-30 12:58:26"
"J. Alroy","J. Alroy","P. Mannion",1635,"P. D.",Gingerich,,,,1976,"Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates)","University of Michigan Papers on Paleontology",,15,,1,141,"serial monograph","stated with evidence",English,,,,,"2001-03-02 15:01:31","2012-12-20 03:08:49"
"M. Carrano","M. Carrano",,35280,P.,Godefroit,F.,Knoll,,2003,"Late Triassic dinosaur teeth from southern Belgium","Comptes Rendus Palevol",,2,1,3,11,"journal article","stated without evidence",English,,,ETE,,"2011-02-23 09:54:24","2011-02-23 09:54:24"
"J. Alroy","R. Whatley","R. Whatley",11599,M.,Godinot,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; VI, Primates. [The Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna.]","Palaeontographica Abteilung A",,205,1-6,113,127,"journal article","stated without evidence",French,,,5%,20800,"2004-09-03 11:56:33","2005-03-05 09:44:21"
"M. Uhen","M. Uhen","T. Liebrecht",40668,"U. B.",Gohlich,,,,2003,"The avifauna of the Grund Beds (Middle Miocene, Early Badenian, northern Austria)","Annalen des Naturhistorischen Museums in Wien, Serie A",,104,,237,249,"journal article","stated without evidence",English,,,,,"2012-03-08 07:36:33","2012-12-04 04:12:33"
"M. Carrano","M. Carrano",,58956,J.,Gosselet,,,,1879,"Découverte d'ossements d'Iguanodon à Bernissart. Analyse d'une lecture faite par M. Ed. Dupont, à l'Académie de Belgique [Discovery of bones of Iguanodon at Bernissart. Analysis of a lecture made by Mr. Ed. Dupont at the Belgian Academy]","Annales de la Société Géologique du Nord",,6,,61,64,"journal article","stated without evidence",French,,,,,"2016-04-20 17:15:01","2016-04-21 08:15:01"
"M. Carrano","M. Carrano",,56026,W.,Gross,,,,1934,"Die Typen des mikroskopischen Knochenbaues bei fossilen Stegocephalen und Reptilien [The types of microscopic bone structure in fossil stegocephalians and reptiles]","Zeitschrift für Anatomie und Entwicklungsgeschichte",,103,,731,764,"journal article","stated without evidence",German,,,,,"2015-08-07 09:32:59","2015-08-08 00:32:59"
"M. Carrano","M. Carrano",,28227,"N. S.",Gupta,O.,Cambra-Moo,"D. E. G. Briggs, G. D. Love, M. A. Fregenal-Martinez, R. E. Summons",2008,"Molecular taphonomy of macrofossils from the Cretaceous Las Hoyas Formation, Spain","Cretaceous Research",,29,,1,8,"journal article","none discussed",English,10.1016/j.cretres.2006.12.009,,ETE,,"2008-10-02 06:33:15","2008-10-02 23:33:15"
"J. Mueller","T. Liebrecht","T. Liebrecht",54667,E.,Gál,J.,Hír,"E. Kessler, J. Kókay, L. Mészáros, M. Vencel",1999,"Középs&#337;-miocén &#337;smaradványok, a Mátrasz&#337;l&#337;s, Rákóczi-kápolna alatti útbevágásból. I. A Mátrasz&#337;l&#337;s 1. lel&#337;hely [Middle miocene fossils from the road cut below the Rákóczi chapel at Mátrasz&#337;l&#337;s. I. The site Mátrasz&#337;l&#337;s 1]","Folia Historico Naturalia Musei Matraensis",,23,,33,78,"journal article","stated without evidence",other,,"in Hungarian, with English abstract",,,"2015-03-19 15:54:34","2015-04-25 22:35:13"
"R. Benson","R. Benson",,38863,G.,Hahn,,,,1993,"The systematic arrangement of the Paulchoffatiidae (Multituberculata) revisited","Geologica et Palaeontologica",,27,,201,214,"journal article","stated with evidence",English,,,,,"2011-12-16 02:53:56","2011-12-16 02:53:56"
"M. Carrano","M. Carrano",,57073,"S. F.",Harmer,,,,1896,"On the casts of Iguanodon bernissartensis, Boulenger, recently presented to the Museum of Zoology by H.M. the King of the Belgians","Proceedings of the Cambridge Philosophical Society",,9,4,202,203,"journal article","stated without evidence",English,,,,,"2015-11-24 09:38:33","2015-11-25 02:38:33"
"J. Alroy","R. Whatley","R. Whatley",11651,J.-L.,Hartenberger,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 5. Rongeurs. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 5. Rodents.]","Palaeontographica Abteilung A",,205,1-6,103,112,"journal article","stated without evidence",French,,,,,"2004-09-08 13:43:33","2004-09-09 06:43:33"
"J. Alroy","S. Kuemmell","S. Kuemmell",12101,H.,Haubold,,,,1977,"Zur Kenntnis der Sauria (Lacertilia) aus dem Eozän des Geiseltals (The Sauria (Lacertilia) from the Eocene of Geiseltal)","Martin-Luther-Universität Halle-Wittenberg, Wissenschaftliche Beiträge (P5)",,1977,2,,,"journal article","stated without evidence",German,,,,,"2004-11-30 00:18:45","2004-12-03 19:42:08"
"J. Alroy","S. Kuemmell","S. Kuemmell",11714,H.,Haubold,,,,1982,"Zur Stellung der Wirbeltierfauna des Geiseltals, insbesondere der Mammalier, im europäischen Mitteleozän (Position of the European Middle Eocene vertebrate fauna of the Geisel Valley, with special focus on mammals)","Zeitschrift für geologische Wissenschaften",,10,12,1539,1551,"journal article","stated without evidence",German,,,5%,24940,"2004-09-27 03:34:59","2004-11-30 20:02:35"
"L. van den Hoek Ostende","L. van den Hoek Ostende",,19926,E.P.J.,Heizmann,L.,Ginsburg,"C. Bulot",1980,"Prosansanosmilus peregrinus, ein neuer machairodontider Felide aus dem Miocän Deutschlands und Frankreichs","Stuttgarter Beiträge zur Naturkunde, Ser. B.",,58,,1,27,"journal article","stated with evidence",German,,,,,"2007-02-18 17:01:17","2007-02-19 12:01:17"
"D. Nicholson","D. Nicholson","D. Nicholson",58591,S.,Hervet,,,,2004,"Systématique du groupe ""Palaeochelys sensu lato – Mauremys"" (Chelonii, Testudinoidea) du Tertiaire d'Europe occidentale: principaux résultats [Systematic of the ""Palaeochelys sensu lato – Mauremys"" group (Chelonii, Testudinoidea) from the Tertiary of Western Europe: principal results","Annales de Paléontologie",,90,1,13,78,"journal article","stated without evidence",French,10.1016/j.annpal.2003.12.002,,,,"2016-03-24 10:27:18","2016-04-15 21:36:24"
"P. Barrett","T. Cleary",,60271,"J. A.",Holman,"D. L.",Harrison,"D. J. Ward",2006,"Late Eocene snakes from the Headon Hill Formation, southern England","Cainozoic Research",,5,1-2,51,62,"journal article","stated without evidence",English,,,,,"2016-09-01 05:11:03","2016-09-01 20:11:03"
"R. Benson","R. Benson",,42228,"D. W. E.",Hone,H.,Tischlinger,"E. Frey, M. Röper",2012,"A new non-pterodactyloid pterosaur from the Late Jurassic of southern Germany","PLoS ONE",,7,7,e38900,,"journal article","stated without evidence",English,10.1371/journal.pone.0038900,,,,"2012-07-06 18:09:13","2012-07-06 18:09:13"
"P. Mannion","P. Mannion",,56880,"J. J.",Hooker,,,,2013,"Origin and evolution of the Pseudorhyncocyonidae, a European Paleogene family of insectivorous placental mammals",Palaeontology,,56,4,807,835,"journal article","stated with evidence",English,,,,,"2015-11-06 08:04:51","2015-11-07 01:04:51"
"P. Mannion","P. Mannion",,43830,"J. J.",Hooker,"D. E.",Russell,,2012,"Early Palaeogene Louisinidae (Macroscelidea, Mammalia), their relationships and north European diversity","Zoological Journal of the Linnean Society",,164,,856,936,"journal article","stated with evidence",English,,,,,"2012-12-11 03:38:11","2012-12-11 03:38:11"
"R. Butler","R. Butler",,31375,"S. C. B.",Howse,"A. R.",Milner,,1995,"The pterodactyloids from the Purbeck Limestone Formation of Dorset","Bulletin of the Natural History Musuem, London (Geology)",,51,1,73,88,"journal article","stated with evidence",English,,,,,"2009-12-08 02:42:06","2009-12-08 21:42:06"
